area_id,date,time_slice,passers_by,unique_passers_by
R011C010,2026-09-21,"[15:00,16:00)",282223,170846
R018C005,2026-09-21,"[22:00,23:00)",298,256
R012C017,2026-09-21,"[13:00,14:00)",40493,27958
R012C015,2026-09-21,"[06:00,07:00)",8029,7239
R014C007,2026-09-21,"[07:00,08:00)",9187,7564
R010C006,2026-09-21,"[23:00,00:00)",11190,8925
R018C002,2026-09-21,"[23:00,00:00)",186,127
R010C003,2026-09-21,"[14:00,15:00)",42769,33222
R013C021,2026-09-21,"[11:00,12:00)",1559,1401
R015C018,2026-09-21,"[15:00,16:00)",27202,23403
R019C011,2026-09-21,"[22:00,23:00)",5874,4107
R017C015,2026-09-21,"[18:00,19:00)",1978,1785
R007C009,2026-09-21,"[23:00,00:00)",8353,7105
R011C014,2026-09-21,"[16:00,17:00)",78126,58510
R017C001,2026-09-21,"[21:00,22:00)",12,12
R011C017,2026-09-21,"[16:00,17:00)",44256,35498
R018C013,2026-09-21,"[14:00,15:00)",2054,1480
R006C017,2026-09-21,"[15:00,16:00)",10594,7014
R009C017,2026-09-21,"[17:00,18:00)",27880,22913
R012C006,2026-09-21,"[22:00,23:00)",7448,5220
R024C011,2026-09-21,"[20:00,21:00)",854,714
R013C007,2026-09-21,"[06:00,07:00)",8813,7193
R022C010,2026-09-21,"[05:00,06:00)",461,461
R016C016,2026-09-21,"[08:00,09:00)",5467,4505
R017C007,2026-09-21,"[18:00,19:00)",4681,4049
R007C014,2026-09-21,"[22:00,23:00)",9134,7399
R019C009,2026-09-21,"[05:00,06:00)",2016,1533
R003C010,2026-09-21,"[05:00,06:00)",899,641
R010C016,2026-09-21,"[23:00,00:00)",6550,5094
R015C009,2026-09-21,"[10:00,11:00)",6973,3979
R015C000,2026-09-21,"[09:00,10:00)",231,186
R003C009,2026-09-21,"[19:00,20:00)",447,447
R002C018,2026-09-21,"[06:00,07:00)",8101,7140
R025C010,2026-09-21,"[03:00,04:00)",71,24
R022C004,2026-09-21,"[05:00,06:00)",20,20
R005C015,2026-09-21,"[20:00,21:00)",17565,12456
R018C011,2026-09-21,"[02:00,03:00)",126,90
R018C011,2026-09-21,"[19:00,20:00)",7227,6231
R015C003,2026-09-21,"[03:00,04:00)",42,42
R015C013,2026-09-21,"[17:00,18:00)",28862,22456
R010C000,2026-09-21,"[05:00,06:00)",2253,2071
R016C016,2026-09-21,"[09:00,10:00)",4071,3275
R022C008,2026-09-21,"[17:00,18:00)",10118,7122
R014C009,2026-09-21,"[08:00,09:00)",31207,24887
R013C008,2026-09-21,"[04:00,05:00)",214,191
R018C007,2026-09-21,"[20:00,21:00)",2467,2141
R020C010,2026-09-21,"[22:00,23:00)",6520,4425
R013C004,2026-09-21,"[16:00,17:00)",14235,11387
R014C018,2026-09-21,"[10:00,11:00)",17803,13751
R015C005,2026-09-21,"[08:00,09:00)",1215,1086
R007C007,2026-09-21,"[18:00,19:00)",64324,50469
R009C000,2026-09-21,"[08:00,09:00)",1673,1661
R007C008,2026-09-21,"[14:00,15:00)",72927,56993
R018C017,2026-09-21,"[10:00,11:00)",393,337
R018C008,2026-09-21,"[13:00,14:00)",2246,1671
R009C001,2026-09-21,"[16:00,17:00)",4000,3848
R010C007,2026-09-21,"[22:00,23:00)",23547,19570
R005C013,2026-09-21,"[10:00,11:00)",2995,2289
R016C010,2026-09-21,"[12:00,13:00)",30191,21405
R018C012,2026-09-21,"[09:00,10:00)",2057,1451
R007C014,2026-09-21,"[06:00,07:00)",24510,20076
R004C018,2026-09-21,"[21:00,22:00)",4638,3968
R012C009,2026-09-21,"[15:00,16:00)",131891,89142
R014C008,2026-09-21,"[03:00,04:00)",272,141
